ABW,OWID_NAM
AFG,OWID_ASI
AGO,OWID_AFR
AIA,OWID_NAM
ALB,OWID_EUR
AND,OWID_EUR
ARE,OWID_ASI
ARG,OWID_SAM
ARM,OWID_ASI
ATG,OWID_NAM
AUS,OWID_OCE
AUT,OWID_EUR
AZE,OWID_ASI
BDI,OWID_AFR
BEL,OWID_EUR
BEN,OWID_AFR
BES,OWID_NAM
BFA,OWID_AFR
BGD,OWID_ASI
BGR,OWID_EUR
BHR,OWID_ASI
BHS,OWID_NAM
BIH,OWID_EUR
BLR,OWID_EUR
BLZ,OWID_NAM
BMU,OWID_NAM
BOL,OWID_SAM
BRA,OWID_SAM
BRB,OWID_NAM
BRN,OWID_ASI
BTN,OWID_ASI
BWA,OWID_AFR
CAF,OWID_AFR
CAN,OWID_NAM
CHE,OWID_EUR
CHL,OWID_SAM
CHN,OWID_ASI
CIV,OWID_AFR
CMR,OWID_AFR
COD,OWID_AFR
COG,OWID_AFR
COK,OWID_OCE
COL,OWID_SAM
COM,OWID_AFR
CPV,OWID_AFR
CRI,OWID_NAM
CUB,OWID_NAM
CUW,OWID_NAM
CYM,OWID_NAM
CYP,OWID_EUR
CZE,OWID_EUR
DEU,OWID_EUR
DJI,OWID_AFR
DMA,OWID_NAM
DNK,OWID_EUR
DOM,OWID_NAM
DZA,OWID_AFR
ECU,OWID_SAM
EGY,OWID_AFR
ERI,OWID_AFR
ESH,OWID_AFR
ESP,OWID_EUR
EST,OWID_EUR
ETH,OWID_AFR
FIN,OWID_EUR
FJI,OWID_OCE
FLK,OWID_SAM
FRA,OWID_EUR
FRO,OWID_EUR
FSM,OWID_OCE
GAB,OWID_AFR
GBR,OWID_EUR
GEO,OWID_ASI
GGY,OWID_EUR
GHA,OWID_AFR
GIB,OWID_EUR
GIN,OWID_AFR
GMB,OWID_AFR
GNB,OWID_AFR
GNQ,OWID_AFR
GRC,OWID_EUR
GRD,OWID_NAM
GRL,OWID_NAM
GTM,OWID_NAM
GUM,OWID_OCE
GUY,OWID_SAM
HKG,OWID_ASI
HND,OWID_NAM
HRV,OWID_EUR
HTI,OWID_NAM
HUN,OWID_EUR
IDN,OWID_ASI
IMN,OWID_EUR
IND,OWID_ASI
IRL,OWID_EUR
IRN,OWID_ASI
IRQ,OWID_ASI
ISL,OWID_EUR
ISR,OWID_ASI
ITA,OWID_EUR
JAM,OWID_NAM
JEY,OWID_EUR
JOR,OWID_ASI
JPN,OWID_ASI
KAZ,OWID_ASI
KEN,OWID_AFR
KGZ,OWID_ASI
KHM,OWID_ASI
KIR,OWID_OCE
KNA,OWID_NAM
KOR,OWID_ASI
KWT,OWID_ASI
LAO,OWID_ASI
LBN,OWID_ASI
LBR,OWID_AFR
LBY,OWID_AFR
LCA,OWID_NAM
LIE,OWID_EUR
LKA,OWID_ASI
LSO,OWID_AFR
LTU,OWID_EUR
LUX,OWID_EUR
LVA,OWID_EUR
MAC,OWID_ASI
MAR,OWID_AFR
MCO,OWID_EUR
MDA,OWID_EUR
MDG,OWID_AFR
MDV,OWID_ASI
MEX,OWID_NAM
MHL,OWID_OCE
MKD,OWID_EUR
MLI,OWID_AFR
MLT,OWID_EUR
MMR,OWID_ASI
MNE,OWID_EUR
MNG,OWID_ASI
MNP,OWID_OCE
MOZ,OWID_AFR
MRT,OWID_AFR
MSR,OWID_NAM
MUS,OWID_AFR
MWI,OWID_AFR
MYS,OWID_ASI
NAM,OWID_AFR
NCL,OWID_OCE
NER,OWID_AFR
NGA,OWID_AFR
NIC,OWID_NAM
NIU,OWID_OCE
NLD,OWID_EUR
NOR,OWID_EUR
NPL,OWID_ASI
NRU,OWID_OCE
NZL,OWID_OCE
OMN,OWID_ASI
PAK,OWID_ASI
PAN,OWID_NAM
PCN,OWID_OCE
PER,OWID_SAM
PHL,OWID_ASI
PLW,OWID_OCE
PNG,OWID_OCE
POL,OWID_EUR
PRI,OWID_NAM
PRK,OWID_ASI
PRT,OWID_EUR
PRY,OWID_SAM
PSE,OWID_ASI
PYF,OWID_OCE
QAT,OWID_ASI
ROU,OWID_EUR
RUS,OWID_EUR
RWA,OWID_AFR
SAU,OWID_ASI
SDN,OWID_AFR
SEN,OWID_AFR
SGP,OWID_ASI
SHN,OWID_AFR
SLB,OWID_OCE
SLE,OWID_AFR
SLV,OWID_NAM
SMR,OWID_EUR
SOM,OWID_AFR
SPM,OWID_NAM
SRB,OWID_EUR
SSD,OWID_AFR
STP,OWID_AFR
SUR,OWID_SAM
SVK,OWID_EUR
SVN,OWID_EUR
SWE,OWID_EUR
SWZ,OWID_AFR
SXM,OWID_NAM
SYC,OWID_AFR
SYR,OWID_ASI
TCA,OWID_NAM
TCD,OWID_AFR
TGO,OWID_AFR
THA,OWID_ASI
TJK,OWID_ASI
TKL,OWID_OCE
TKM,OWID_ASI
TLS,OWID_ASI
TON,OWID_OCE
TTO,OWID_NAM
TUN,OWID_AFR
TUR,OWID_ASI
TUV,OWID_OCE
TWN,OWID_ASI
TZA,OWID_AFR
UGA,OWID_AFR
UKR,OWID_EUR
URY,OWID_SAM
USA,OWID_NAM
UZB,OWID_ASI
VAT,OWID_EUR
VCT,OWID_NAM
VEN,OWID_SAM
VGB,OWID_NAM
VIR,OWID_NAM
VNM,OWID_ASI
VUT,OWID_OCE
WLF,OWID_OCE
WSM,OWID_OCE
YEM,OWID_ASI
ZAF,OWID_AFR
ZMB,OWID_AFR
ZWE,OWID_AFR
